gene,pval,logfoldchanges,cluster
IL17A,0.2644773301144791,22.958092,0
CLIC3,0.27133487022599145,0.63357365,0
CLEC7A,0.28120816881679517,0.93769497,0
FDX1,0.28431199559576636,0.29589805,0
IL23A,0.28791751473874005,0.49258846,0
RRM2,0.28915264052626116,23.880844,0
RGS18,0.2977044561669245,0.93769497,0
RHOB,0.3092647650071489,0.4754349,0
APOBEC3A,0.3097394256070671,1.1704977,0
MEF2C,0.3097394256070671,1.1704977,0
CD93,0.3097394256070671,1.1704977,0
CD177,0.31752884371131296,22.371176,0
ATP12A,0.3175288437113131,19.78296,0
CFB,0.3175288437113131,19.78296,0
LYPD2,0.3175288437113131,20.783611,0
GFI1B,0.3175288437113131,19.78296,0
LRRC26,0.3175288437113131,19.78296,0
C11orf88,0.3175288437113131,19.78296,0
OLFM1,0.3175288437113131,19.78296,0
KITLG,0.3175288437113131,19.78296,0
TXNDC5,0.3175288437113131,19.78296,0
TRBV6-5,0.3175288437113131,19.78296,0
CA3,0.3175288437113131,19.78296,0
PACRG,0.3175288437113131,19.78296,0
ARHGAP6,0.3175288437113131,19.78296,0
MEG3,0.3175288437113131,19.78296,0
NXPH4,0.3175288437113131,19.78296,0
SLC6A14,0.3175288437113131,19.78296,0
TREML1,0.3175288437113131,19.78296,0
CD72,0.3175288437113131,19.78296,0
LY6H,0.3175288437113131,19.78296,0
GPX2,0.3175288437113131,19.78296,0
DRD4,0.3175288437113131,19.78296,0
RNASE2,0.3175288437113131,19.78296,0
SDR16C5,0.3175288437113131,19.78296,0
GPRC5A,0.3175288437113131,19.78296,0
FOLR1,0.3175288437113131,19.78296,0
CA8,0.3175288437113131,19.78296,0
TRAV12-3,0.3175288437113131,19.78296,0
TRBV7-2,0.3175288437113131,19.78296,0
STC1,0.3175288437113131,19.78296,0
HBD,0.3175288437113131,19.78296,0
CST6,0.3175288437113131,19.78296,0
MMP7,0.3175288437113131,19.78296,0
TFPI2,0.3175288437113131,19.78296,0
SDC2,0.3175288437113131,19.78296,0
FAM178B,0.3175288437113131,19.78296,0
RND3,0.3175288437113131,19.78296,0
KIF18B,0.3175288437113131,19.78296,0
GALNT5,0.3175288437113131,19.78296,0
SLC38A11,0.3175288437113131,19.78296,0
SPC25,0.3175288437113131,19.78296,0
KRT23,0.3175288437113131,19.78296,0
C1orf189,0.3175288437113131,19.78296,0
CHL1,0.3175288437113131,19.78296,0
EFHB,0.3175288437113131,19.78296,0
IGLV2-8,0.3175288437113131,19.78296,0
OMG,0.3175288437113131,19.78296,0
CAMP,0.3175288437113131,19.78296,0
TNNC1,0.3175288437113131,19.78296,0
ZMYND15,0.3175288437113131,19.78296,0
CRCT1,0.3175288437113131,19.78296,0
DPEP3,0.3175288437113131,19.78296,0
CETP,0.3175288437113131,19.78296,0
MT1H,0.3175288437113131,19.78296,0
MYL4,0.3175288437113131,19.78296,0
CYGB,0.3175288437113131,19.78296,0
TMEM56,0.3175288437113131,19.78296,0
FCGR2B,0.3175288437113131,19.78296,0
CDC42BPA,0.3175288437113131,19.78296,0
GDF15,0.3175288437113131,19.78296,0
CYP2F1,0.3175288437113131,19.78296,0
FAM129C,0.3175288437113131,19.78296,0
CEACAM6,0.3175288437113131,19.78296,0
CCDC151,0.3175288437113131,19.78296,0
AZU1,0.3175288437113131,19.78296,0
PRSS57,0.3175288437113131,19.78296,0
PI3,0.3175288437113131,19.78296,0
IGKV1-5,0.3175288437113131,19.78296,0
KLK2,0.3175288437113131,19.78296,0
SIRPD,0.3175288437113131,19.78296,0
SERPINB3,0.3175288437113131,19.78296,0
CACNG8,0.3175288437113131,19.78296,0
IGKV2D-29,0.3175288437113131,19.78296,0
LILRA4,0.3175288437113131,19.78296,0
TMEM190,0.3175288437113131,19.78296,0
SPAG17,0.3175288437113131,19.78296,0
CCL7,0.3175288437113131,19.78296,0
CLC,0.3175288437113131,19.78296,0
DEPDC1,0.3175288437113131,19.78296,0
IGHV3-7,0.3175288437113131,19.78296,0
TRBV4-1,0.3175288437113131,19.78296,0
CXCL5,0.3175288437113131,19.78296,0
ORM1,0.3175288437113131,19.78296,0
BANK1,0.3175288437113131,19.78296,0
HDC,0.3175288437113131,19.78296,0
FGFBP1,0.3175288437113131,19.78296,0
CLNK,0.3175288437113131,19.78296,0
CDC20B,0.3175288437113131,19.78296,0
CXCL11,0.3175288437113131,19.78296,0
CXCL13,0.3175288437113131,20.783611,0
MPEG1,0.34069209185749805,0.84958005,0
IGSF6,0.34069209185749805,0.84958005,0
SOD2,0.3458540554603765,0.28683877,0
CDKN3,0.3540094218912393,1.1704977,0
ALDH2,0.35731774704955976,0.5744332,0
CCL3,0.3586112838091886,0.5227638,0
SOX4,0.37335430952731097,0.8612103,0
TYMS,0.3964476580701912,1.9405947,0
CRELD2,0.4146770425616334,0.23227152,0
MKI67,0.42608763473590316,1.6585308,0
CPPED1,0.4266249051482899,0.5507392,0
HSBP1,0.448864409529779,0.21438466,0
RFESD,0.45463894960927087,0.5862527,0
RUFY1,0.45697597653369604,0.32370466,0
WARS,0.46422119128573525,0.3753064,0
LTC4S,0.4657456188000302,0.43598348,0
SLC39A3,0.4662385341991502,0.32413915,0
MS4A6A,0.47904961173009564,0.4935028,0
PLA2G2A,0.4860452642582206,0.6556312,0
AGER,0.49401134000325153,0.6556312,0
SPP1,0.501441909225919,0.8472669,0
CSTA,0.5031297974818231,0.3946876,0
RAB32,0.5161390721515033,0.8472669,0
