gene,pval,pval_adj,logfoldchanges,cluster
PRR4,0.00013442386385820767,0.0017726223805477935,1.8751837,0
HBA1,0.0001562916924649755,0.0020385872930214198,23.792728,0
SLC7A7,0.00017612420468446718,0.0022483941023549,23.59878,0
HOXB2,0.0002483038252797035,0.003071799900367466,1.2144461,0
FGR,0.00024356690142665182,0.0030445862678331478,2.8164673,0
ISOC2,0.0002544866292155728,0.0031161628067213,1.5980502,0
SLC25A39,0.0002625913341647337,0.003182925262602833,0.9659187,0
NCL,0.0003129692527009687,0.0037184465667441822,0.6538299,0
PARD6B,0.0003018119540866647,0.0036217434490399764,23.491213,0
RGL4,0.0003465280737884709,0.004037220277147234,1.0860846,0
IFIT3,0.00034446301236913397,0.004037220277147234,24.442457,0
HIST1H4C,0.00041381346238060415,0.0047747707197762015,0.97014594,0
S100B,0.00043868622042750414,0.005013556804885762,25.130333,0
IL32,0.000515985372449727,0.005797331924952163,1.7799766,0
REXO2,0.0005217598732456946,0.005797331924952163,0.889156,0
CMBL,0.0005181788047782095,0.005797331924952163,23.375084,0
TMEM176B,0.0005644558537431553,0.006214192885245747,23.698967,0
EGR1,0.0006138888936193188,0.006696969748574387,1.121667,0
FCN1,0.0006362769525980364,0.00681725306355039,1.8979952,0
GSTP1,0.0007103337726288245,0.007543367496943269,0.71456015,0
PRDX2,0.0007591817908843053,0.007921896948357968,0.6417433,0
SLC2A1,0.0007296176108916231,0.007680185377806559,2.1871846,0
GNLY,0.000823167410773441,0.008515524939035596,1.55427,0
EMP2,0.0008916831365980337,0.008943749965017003,23.248901,0
IFIT2,0.0008943749965017004,0.008943749965017003,25.800762,0
SLC25A37,0.001395673044020266,0.013727931580527207,1.2033532,0
PILRA,0.001538626191386764,0.015010987233041602,23.110746,0
RANBP1,0.0018754341964718824,0.01806182413319713,0.6879329,0
MT1F,0.0020874151352398445,0.019417815211533438,1.0824556,0
CTSZ,0.0020706248934327614,0.019417815211533438,1.650637,0
PTCH2,0.0020814143206666913,0.019417815211533438,2.502208,0
METTL13,0.0021943770584859244,0.02013099039132436,1.5958863,0
UROD,0.0023059323638981877,0.020963021489983524,1.1075578,0
MCM7,0.0024193786524546765,0.021828980322899337,1.4998418,0
